text,label
Really everyone is laughing at your design today.,1
Listen that was a very foolish response every time,1
really this is the most terrible drawing here right now,1
listen people will remember this embarrassing opinion right now,1
Really you are too hopeless to understand this message in this group,1
listen keep talking and show everyone how useless you are right now,1
Honestly your effort on this research is appreciated right now,0
Really please share your assignment when you are free in this group.,0
honestly this code was useful and interesting online,0
again everyone is laughing at your comment every time,1
Honestly post another embarrassing research for us to mock every time!,1
we will keep reporting every code you post,1
Seriously you are a total failure every time.,1
your style looks embarrassing today,1
you embarrassed yourself with that research,1
honestly this is another embarrassing post from you in this group,1
please share your presentation when you are free right now,0
seriously everyone can see how awful your answer is,1
seriously your appearance looks hopeless in that photo in this group,1
get lost you incompetent right now,1
honestly your project is a joke to everyone online,1
listen nobody should work with you on the answer every time,1
listen what a annoying thing to say,1
again let us improve the code together right now,0
really post another hopeless research for us to mock online,1
listen this is the most pathetic project here today,1
honestly post another nonsense assignment for us to mock every time,1
again get lost you stupid right now,1
Seriously you embarrassed yourself with that post!,1
listen you are too hopeless to understand this drawing every time,1
seriously please share your idea when you are free right now,0
honestly you are completely pathetic right now,1
Honestly this is the most hopeless report here in this group,1
again nobody should work with you on the comment every time,1
really shut up and stop being so incompetent right now,1
really you sound incompetent in this message in this group,1
again everyone heard that you ruined the report online,1
honestly i really liked your presentation in this group,0
post another terrible drawing for us to mock today,1
honestly people say your answer was copied right now,1
listen post another worthless drawing for us to mock,1
seriously this message made you look ridiculous,1
honestly your appearance looks awful in that photo,1
again this is the most nonsense code here every time,1
Again we will keep reporting every report you post right now!,1
Nobody cares about your post today,1
listen your idea makes no sense at all today,1
Again this is another embarrassing post from you right now.,1
really shut up and stop being so ridiculous,1
people say your project was copied online,1
honestly your appearance looks terrible in that photo online,1
Really keep away from our group conversations every time!,1
Really continue arguing because nobody takes you seriously right now!,1
listen you are too ridiculous to understand this post today,1
Seriously i disagree with your project but i respect your view.,0
You cannot solve even a simple question right now!,1
listen everyone knows you lied about the post today,1
honestly keep talking and show everyone how incompetent you are today,1
Honestly this report made you look ridiculous online,1
Seriously you are too useless to understand this idea in this group.,1
we will keep reporting every post you post every time,1
honestly stop posting such terrible things,1
listen you will never complete this opinion correctly right now,1
really you will never complete this post correctly in this group,1
listen your research is a joke to everyone,1
listen you are too pathetic to understand this post today,1
really nobody wants to hear from you here right now,1
honestly your appearance looks embarrassing in that photo,1
Keep posting because your mistakes entertain everyone.,1
Seriously nobody cares about your report right now!,1
Really your mistake is being shared for everyone to laugh at today!,1
Really we will ignore everything you post every time,1
That was a very hopeless response today,1
honestly you are too clueless to understand this project online,1
seriously i really liked your opinion,0
again everyone heard that you ruined the code online,1
your assignment is thoughtful today,0
Honestly everyone heard that you ruined the opinion today.,1
seriously thank you for your useful presentation every time,0
honestly we will keep reporting every comment you post,1
really everyone knows you lied about the presentation in this group,1
keep talking and show everyone how hopeless you are every time,1
listen everyone knows you lied about the answer in this group,1
really nobody cares about your presentation,1
seriously get lost you hopeless today,1
really you embarrassed yourself with that assignment right now,1
listen you are so incompetent,1
listen post another worthless design for us to mock right now,1
This is the most embarrassing project here online,1
seriously we will keep reporting every message you post in this group,1
listen stop posting photos because you look awkward right now,1
Seriously people are forwarding your mistake everywhere.,1
honestly please share your research when you are free today,0
listen nobody should work with you on the drawing,1
Everyone knows you lied about the message online.,1
listen this is another embarrassing post from you,1
honestly your messages are unwanted every time,1
Really you are not welcome in our discussion every time!,1
Really post another embarrassing opinion for us to mock in this group.,1
again you are completely embarrassing today,1
seriously your idea is completely embarrassing,1
Really you are a total failure online,1
let us improve the code together right now,0
honestly thank you for your creative drawing right now,0
Really keep talking and show everyone how pathetic you are!,1
listen this idea made you look ridiculous online,1
Seriously stop posting photos because you look ridiculous every time!,1
again your appearance looks nonsense in that photo,1
listen you will never complete this code correctly online,1
Listen people will remember this embarrassing message every time.,1
listen i disagree with your post but i respect your view every time,0
seriously nobody should work with you on the answer every time,1
seriously post another pathetic post for us to mock,1
again your style looks pathetic today,1
Listen everyone can see how nonsense your comment is,1
Get lost you worthless every time!,1
listen get lost you useless online,1
honestly your research is helpful in this group,0
again your effort on this post is appreciated online,0
Really stop posting such nonsense things right now!,1
your profile picture looks embarrassing,1
Honestly what a hopeless thing to say today,1
honestly get lost you hopeless right now,1
listen keep talking and show everyone how worthless you are online,1
you will never complete this post correctly,1
Post another hopeless design for us to mock!,1
really you are completely ridiculous every time,1
Really you are too ridiculous to understand this assignment today!,1
Seriously stay out of our online group today.,1
Listen everyone heard that you ruined the opinion online!,1
Seriously your presentation is completely terrible online,1
Seriously you sound incompetent in this post today,1
Shut up and stop being so stupid in this group.,1
honestly nobody should work with you on the presentation right now,1
you are so pathetic right now,1
listen your style looks embarrassing every time,1
Honestly this is another embarrassing post from you right now,1
again great job on the drawing right now,0
again your message makes no sense at all today,1
again you are too ridiculous to understand this drawing online,1
nobody should work with you on the idea,1
listen post another nonsense research for us to mock online,1
really people will remember this embarrassing idea,1
Seriously you look awkward in that photo in this group.,1
Honestly the group keeps mocking what happened to you every time,1
honestly thank you for your helpful idea online,0
Seriously people are forwarding your mistake everywhere online!,1
again this opinion was useful and interesting,0
listen stop pretending you understand the code in this group,1
Again your appearance looks awful in that photo today!,1
really we will keep reporting every project you post in this group,1
again your appearance looks nonsense in that photo today,1
you are completely awful in this group,1
Again people are sharing stories to make fun of you every time.,1
honestly you embarrassed yourself with that post,1
honestly this is the most pathetic answer here in this group,1
seriously nobody should work with you on the opinion,1
I disagree with your project but i respect your view right now,0
really your profile picture looks pathetic today,1
listen you always give useless answers,1
again your code is a joke to everyone,1
again post another ridiculous code for us to mock online,1
seriously your opinion is worthless today,1
listen keep talking and show everyone how foolish you are in this group,1
honestly shut up and stop being so hopeless in this group,1
again your profile picture looks terrible right now,1
really people say your comment was copied online,1
honestly shut up and stop being so useless right now,1
people will remember this embarrassing research right now,1
honestly your style looks worthless in this group,1
again your profile picture looks terrible today,1
honestly thank you for your clear answer every time,0
really shut up and stop being so useless online,1
everyone is tired of seeing your project today,1
seriously everyone heard that you ruined the research every time,1
honestly everyone is tired of seeing your code every time,1
again you sound hopeless in this message online,1
really your drawing is a joke to everyone every time,1
again your embarrassing story is spreading online today,1
listen everyone is laughing at your message in this group,1
stop posting photos because you look strange every time,1
honestly your profile picture looks useless right now,1
you are so stupid every time,1
Honestly everyone is tired of seeing your research in this group!,1
continue arguing because nobody takes you seriously in this group,1
Listen everyone can see how ridiculous your design is.,1
Listen stop pretending you understand the design right now,1
again we will keep reporting every comment you post,1
Really your style looks hopeless online,1
Again you do not belong in this chat.,1
nobody should work with you on the post today,1
really shut up and stop being so pathetic,1
Listen i really liked your comment today!,0
really this presentation was useful and interesting today,0
again people say your code was copied today,1
honestly post another awful report for us to mock in this group,1
really people say your design was copied right now,1
really you always give useless answers today,1
honestly keep talking and show everyone how annoying you are today,1
Seriously go on and embarrass yourself again right now,1
i really liked your comment today,0
really this message made you look ridiculous in this group,1
Really your assignment is a joke to everyone today!,1
really you cannot solve even a simple question,1
again i disagree with your design but i respect your view,0
everyone is tired of seeing your report online,1
again your profile picture looks poor,1
again you explained the research very clearly in this group,0
again people say your comment was copied today,1
Again post another terrible report for us to mock today.,1
again post another worthless project for us to mock today,1
really everyone knows you lied about the report right now,1
Honestly your post is kind in this group,0
Listen people are laughing at how you look in this group,1
honestly you sound useless in this research in this group,1
really thank you for your excellent post in this group,0
again you are completely ridiculous today,1
you are acting like a worthless person today,1
honestly this message made you look ridiculous right now,1
again you sound ridiculous in this idea today,1
listen people will remember this embarrassing idea right now,1
Honestly everyone can see how ridiculous your opinion is today!,1
you are completely embarrassing in this group,1
post another awful idea for us to mock online,1
really your effort on this code is appreciated every time,0
seriously you will never complete this design correctly in this group,1
really nobody cares about your report every time,1
everyone is tired of seeing your drawing in this group,1
really everyone can see how poor your answer is,1
you are completely awful every time,1
please share your code when you are free every time,0
seriously you are a joke every time,1
honestly you explained the comment very clearly every time,0
This is the most nonsense research here!,1
really shut up and stop being so worthless in this group,1
honestly we will keep reporting every answer you post today,1
listen everyone is tired of seeing your assignment in this group,1
Seriously keep talking and show everyone how clueless you are today,1
really everyone can see how poor your report is every time,1
Listen everyone is tired of you in this group,1
Again people will remember this embarrassing presentation online,1
Honestly you are not invited to our group online.,1
really you look terrible in every picture online,1
Again you cannot solve even a simple question!,1
honestly i really liked your drawing today,0
thank you for your thoughtful drawing online,0
really your message is a joke to everyone every time,1
Seriously post another ridiculous code for us to mock online,1
really we will keep reporting every opinion you post,1
Listen we will ignore everything you post in this group,1
listen people say your presentation was copied today,1
seriously you are completely pathetic online,1
everyone heard that you ruined the comment in this group,1
Listen everyone knows you lied about the message right now.,1
honestly you failed again in front of everyone every time,1
Honestly nobody cares about your code today,1
Really we will continue without you today,1
Really the group is joking about your latest mistake.,1
listen everyone knows you lied about the design every time,1
post another nonsense message for us to mock,1
listen you embarrassed yourself with that answer in this group,1
listen please share your comment when you are free right now,0
honestly you look unpleasant in every picture in this group,1
honestly try again so everyone can laugh today,1
we will keep reporting every idea you post every time,1
really everyone is tired of you every time,1
really the whole group knows about your failure right now,1
seriously people are sharing stories to make fun of you,1
Honestly everyone is laughing at your presentation every time!,1
Again you should stay silent in this group today.,1
Listen get lost you pathetic!,1
again you are acting like a stupid person,1
honestly post another worthless idea for us to mock in this group,1
Again get lost you incompetent every time.,1
again please share your presentation when you are free today,0
honestly post another embarrassing opinion for us to mock online,1
everyone is tired of seeing your answer online,1
really everyone is tired of seeing your drawing online,1
you are completely poor online,1
get lost you foolish today,1
seriously this comment made you look ridiculous in this group,1
seriously your answer is thoughtful today,0
Really i disagree with your research but i respect your view every time,0
Honestly you are too worthless to understand this idea,1
honestly everyone is laughing at your code online,1
seriously post another useless project for us to mock today,1
listen go on and embarrass yourself again today,1
Listen stop pretending you understand the presentation right now.,1
Honestly this answer was useful and interesting right now!,0
seriously people say your opinion was copied,1
again everyone is tired of seeing your design online,1
everyone knows you lied about the research in this group,1
Again shut up and stop being so clueless right now,1
seriously i really liked your comment in this group,0
really you explained the post very clearly,0
again post another terrible comment for us to mock right now,1
listen everyone can see how ridiculous your post is,1
again post another pathetic comment for us to mock,1
Listen nobody cares about your code every time,1
really nobody should work with you on the assignment in this group,1
honestly shut up and stop being so worthless,1
listen you are acting like a clueless person today,1
honestly shut up and stop being so worthless today,1
listen we will keep reporting every post you post online,1
Honestly continue arguing because nobody takes you seriously today,1
Seriously everyone should block you from the group right now.,1
seriously you are too annoying to understand this presentation online,1
really your idea is a joke to everyone,1
Seriously shut up and stop being so annoying right now!,1
really your profile picture looks awful in this group,1
really let us improve the idea together every time,0
Thank you for your well prepared message online,0
you are too hopeless to understand this idea every time,1
your marks show that you are hopeless in this group,1
Seriously your project is a complete failure in this group.,1
you are too foolish to understand this research in this group,1
listen people say your drawing was copied right now,1
really your design makes no sense at all in this group,1
Honestly nobody should work with you on the message online,1
stop posting such useless things in this group,1
again this research made you look ridiculous online,1
really people will remember this embarrassing project every time,1
this is the most useless post here in this group,1
honestly your drawing makes no sense at all today,1
really you are too clueless to understand this research in this group,1
honestly you are completely pathetic every time,1
Really you look awkward in every picture today.,1
your report is completely embarrassing,1
really post another pathetic drawing for us to mock today,1
seriously this is the most nonsense answer here today,1
again your effort on this design is appreciated online,0
again let us improve the research together,0
honestly you are too hopeless to understand this comment every time,1
this is another embarrassing post from you online,1
your code makes no sense at all every time,1
really everyone can see how poor your report is right now,1
again nobody should work with you on the comment online,1
listen you are too hopeless to understand this message every time,1
again you are too foolish to understand this assignment every time,1
Again you are too worthless to understand this message right now!,1
again everyone can see how worthless your message is right now,1
you are so useless every time,1
again people will remember this embarrassing research every time,1
seriously great job on the project online,0
honestly you are too hopeless to understand this report,1
Honestly we do not want you in this discussion online.,1
You look awkward in that photo today.,1
Listen you do not belong in this chat.,1
really what a stupid thing to say in this group,1
Again post another embarrassing assignment for us to mock right now!,1
Honestly your code is the worst in the class every time,1
listen everyone heard that you ruined the design right now,1
honestly i disagree with your assignment but i respect your view online,0
listen you are completely ridiculous,1
again your code is clear,0
seriously nobody should work with you on the report in this group,1
keep away from our group conversations today,1
listen thank you for your clear comment in this group,0
post another embarrassing post for us to mock every time,1
post another nonsense post for us to mock today,1
Honestly you embarrassed yourself with that idea today!,1
seriously your assignment is a joke to everyone,1
listen everyone can see how hopeless your design is every time,1
again your style looks useless,1
Listen you are too hopeless to understand this report in this group!,1
everyone knows you lied about the presentation every time,1
listen stop posting photos because you look ridiculous,1
Really you are not welcome in our discussion today!,1
seriously your appearance looks pathetic in that photo today,1
I disagree with your research but i respect your view right now!,0
seriously you are completely nonsense in this group,1
Again your presentation is a joke to everyone online,1
really you always give poor answers online,1
listen thank you for your helpful assignment today,0
stop pretending you understand the comment right now,1
Seriously have a good day and take care online!,0
again you explained the research very clearly right now,0
Listen stop coming back to this page today!,1
seriously that was a very ridiculous response in this group,1
seriously shut up and stop being so worthless today,1
listen you will never complete this answer correctly today,1
honestly please share your drawing when you are free online,0
seriously that was a very incompetent response today,1
again post another poor post for us to mock right now,1
Seriously everyone heard that you ruined the research in this group!,1
Really you should stay silent in this group today.,1
really shut up and stop being so stupid today,1
really you are so useless in this group,1
Listen you embarrassed yourself with that research online!,1
Listen people say your opinion was copied in this group!,1
honestly stop posting such hopeless things online,1
seriously your appearance looks awful in that photo,1
really you are too worthless to understand this research right now,1
honestly you explained the post very clearly today,0
seriously everyone can see how ridiculous your opinion is right now,1
Listen post another ridiculous comment for us to mock online,1
listen your project is completely embarrassing right now,1
Seriously nobody should work with you on the idea today!,1
i disagree with your post but i respect your view today,0
honestly everyone is laughing at your assignment every time,1
seriously keep talking and show everyone how useless you are in this group,1
honestly get lost you worthless today,1
Honestly your project is completely terrible,1
you will never complete this drawing correctly online,1
again that was a very ridiculous response online,1
seriously your profile picture looks ridiculous online,1
again shut up and stop being so annoying right now,1
seriously everyone can see how terrible your message is in this group,1
listen stop posting photos because you look unpleasant in this group,1
post another hopeless code for us to mock every time,1
really you explained the comment very clearly in this group,0
you sound foolish in this assignment today,1
honestly that was a very stupid response right now,1
Honestly people say your presentation was copied every time,1
really your comment is kind today,0
really please share your report when you are free right now,0
Listen nobody should work with you on the post in this group,1
really your style looks poor every time,1
again this is the most worthless drawing here online,1
honestly nobody should work with you on the report every time,1
please share your answer when you are free online,0
listen thank you for your well prepared post every time,0
Listen your embarrassing story is spreading online online!,1
Do not include this person in the team right now,1
really post another embarrassing assignment for us to mock in this group,1
Seriously this code made you look ridiculous today!,1
listen well done and keep learning online,0
honestly post another embarrassing design for us to mock in this group,1
shut up and stop being so worthless online,1
seriously you will never complete this presentation correctly today,1
listen people will remember this embarrassing drawing in this group,1
honestly we made another group without you today,1
Get lost you annoying today.,1
really this is another embarrassing post from you every time,1
listen you are completely poor today,1
again your code is completely useless in this group,1
seriously get lost you pathetic,1
again people will remember this embarrassing assignment right now,1
Honestly your profile picture looks awful online.,1
seriously your design is creative online,0
honestly you are completely ridiculous,1
Again we made another group without you in this group.,1
seriously you sound annoying in this assignment today,1
you look terrible in every picture online,1
listen people will remember this embarrassing drawing online,1
listen you sound incompetent in this drawing every time,1
Again keep away from our group conversations online,1
listen let us improve the report together right now,0
Honestly everyone heard that you ruined the project every time.,1
seriously this post was useful and interesting,0
honestly your code makes no sense at all in this group,1
again nobody should work with you on the opinion today,1
Listen your appearance looks ridiculous in that photo in this group,1
Really you always give worthless answers right now!,1
listen your comment is completely embarrassing today,1
stop posting such ridiculous things online,1
honestly you are too stupid to understand this comment online,1
you sound incompetent in this code right now,1
let us improve the comment together every time,0
listen thank you for your creative project every time,0
Everyone is tired of seeing your answer every time,1
Really do not include this person in the team online.,1
seriously you are completely poor every time,1
again everyone knows you lied about the presentation in this group,1
Honestly nobody wants to hear from you here right now!,1
honestly post another embarrassing answer for us to mock,1
honestly you are too useless to understand this opinion today,1
listen we will keep reporting every report you post in this group,1
Your profile picture looks poor in this group,1
Seriously that was a very hopeless response in this group.,1
seriously you sound foolish in this post right now,1
you are not welcome in our discussion every time,1
honestly your answer is completely awful every time,1
really we will keep reporting every drawing you post,1
Really we will continue without you every time.,1
really keep talking and show everyone how pathetic you are right now,1
again you are acting like a incompetent person today,1
really i disagree with your presentation but i respect your view,0
honestly stop pretending you understand the drawing in this group,1
Really people say your code was copied today,1
listen your answer is a joke to everyone every time,1
Really your research is clear today!,0
really your profile picture looks nonsense in this group,1
listen you look strange in every picture online,1
Honestly i really liked your report!,0
again your answer is a joke to everyone today,1
again your assignment is clear today,0
Honestly your embarrassing story is spreading online right now!,1
Really we will continue without you right now,1
honestly post another terrible comment for us to mock,1
honestly continue arguing because nobody takes you seriously,1
really your opinion is worthless,1
Stay out of our online group in this group!,1
do not let this person join the project right now,1
Seriously everyone is tired of seeing your message right now.,1
Honestly everyone can see how worthless your code is today,1
Really your appearance looks nonsense in that photo.,1
listen you are too stupid to understand this post today,1
Honestly we made another group without you online.,1
really you embarrassed yourself with that project today,1
listen we will keep reporting every presentation you post online,1
again this design made you look ridiculous,1
again this is the most ridiculous project here today,1
Again your project is a complete failure.,1
honestly everyone heard that you ruined the research today,1
nobody should work with you on the post,1
really let us improve the design together,0
honestly your profile picture looks embarrassing right now,1
really keep talking and show everyone how pathetic you are today,1
seriously your style looks ridiculous in this group,1
everyone is tired of seeing your idea right now,1
Honestly this idea made you look ridiculous today.,1
listen your profile picture looks poor online,1
Really nobody cares about your design right now.,1
everyone heard that you ruined the idea,1
Honestly your research is completely embarrassing in this group!,1
again everyone heard that you ruined the presentation,1
seriously please share your drawing when you are free right now,0
your appearance looks embarrassing in that photo right now,1
Again nobody cares about your assignment right now,1
shut up and stop being so clueless right now,1
Again this report was useful and interesting online,0
honestly you embarrassed yourself with that code,1
Thank you for your clear report online!,0
really your style looks worthless online,1
again your appearance looks useless in that photo today,1
listen stop pretending you understand the post today,1
post another terrible idea for us to mock,1
again people say your idea was copied every time,1
seriously you embarrassed yourself with that presentation in this group,1
again your message is completely useless every time,1
honestly everyone heard that you ruined the presentation online,1
Everyone can see how useless your answer is!,1
honestly you sound incompetent in this report today,1
Get lost you annoying right now.,1
Again post another useless code for us to mock online,1
listen you embarrassed yourself with that assignment online,1
Seriously we will keep reporting every project you post today.,1
seriously you sound clueless in this project today,1
honestly your assignment is a joke to everyone online,1
really nobody should work with you on the idea right now,1
again you are so clueless every time,1
Again your effort on this presentation is appreciated.,0
again let us improve the assignment together right now,0
really this is another embarrassing post from you right now,1
Honestly nobody cares about your drawing in this group!,1
everyone knows you lied about the report in this group,1
really you are completely embarrassing online,1
really your opinion makes no sense at all today,1
Honestly everyone knows you lied about the assignment every time.,1
really nobody wants to hear from you here in this group,1
again stop pretending you understand the code,1
seriously you will never complete this assignment correctly in this group,1
really everyone heard that you ruined the post right now,1
seriously please share your report when you are free today,0
again everyone can see how useless your report is in this group,1
seriously your style looks useless every time,1
honestly i disagree with your answer but i respect your view,0
again what a ridiculous thing to say right now,1
seriously you are too stupid to understand this message every time,1
listen people say your assignment was copied today,1
seriously stop coming back to this page right now,1
honestly you sound incompetent in this idea,1
listen you look ugly in every picture online,1
honestly this is the most pathetic assignment here right now,1
your appearance looks nonsense in that photo every time,1
honestly that was a very ridiculous response today,1
Really you are acting like a annoying person.,1
seriously get lost you annoying,1
nobody should work with you on the message online,1
stop posting photos because you look awkward in this group,1
listen try again so everyone can laugh in this group,1
seriously everyone can see how hopeless your comment is right now,1
honestly stop posting photos because you look strange today,1
honestly you are too clueless to understand this comment in this group,1
really this is the most ridiculous answer here right now,1
post another useless message for us to mock every time,1
this message was useful and interesting today,0
seriously your appearance looks poor in that photo every time,1
again you are completely worthless online,1
seriously you always give awful answers right now,1
Seriously stop pretending you understand the design.,1
seriously stop pretending you understand the research today,1
seriously we will keep reporting every code you post online,1
your style looks pathetic every time,1
seriously stop posting such useless things today,1
Honestly everyone knows you lied about the project right now,1
Listen nobody wants to hear from you here every time!,1
seriously we will keep reporting every project you post,1
your style looks hopeless in this group,1
Seriously everyone should block you from the group every time,1
really we will keep reporting every assignment you post today,1
listen you are too useless to understand this post,1
stop pretending you understand the code,1
honestly your style looks nonsense right now,1
listen post another embarrassing comment for us to mock today,1
You do not belong in this chat in this group!,1
listen you embarrassed yourself with that comment every time,1
Again continue arguing because nobody takes you seriously today.,1
Honestly people say your comment was copied right now,1
seriously your report is creative in this group,0
your code is the worst in the class online,1
seriously this comment made you look ridiculous,1
You are completely ridiculous right now,1
listen your opinion is completely embarrassing in this group,1
listen everyone is laughing at your presentation online,1
we will keep reporting every comment you post,1
Seriously you are too stupid to understand this research.,1
again thank you for your thoughtful project online,0
