id,text,category,binary_label,severity,language,source
81,listen get lost you annoying in this group,general_abuse,1,medium,en,synthetic_template_v1
82,listen people say your project was copied right now,rumor_mockery,1,high,en,synthetic_template_v1
83,everyone can see how ridiculous your report is in this group,humiliation,1,high,en,synthetic_template_v1
84,you explained the project very clearly in this group,normal,0,none,en,synthetic_template_v1
85,again your profile picture looks poor right now,appearance_attack,1,high,en,synthetic_template_v1
86,honestly everyone is laughing at your message every time,humiliation,1,high,en,synthetic_template_v1
87,listen everyone knows you lied about the assignment in this group,rumor_mockery,1,high,en,synthetic_template_v1
88,Really this is the most ridiculous idea here.,insult,1,medium,en,synthetic_template_v1
89,again this design was useful and interesting right now,normal,0,none,en,synthetic_template_v1
90,this answer made you look ridiculous,humiliation,1,high,en,synthetic_template_v1
91,really stop posting such hopeless things every time,insult,1,medium,en,synthetic_template_v1
92,Again your research makes no sense at all,insult,1,medium,en,synthetic_template_v1
93,seriously you are so stupid online,insult,1,medium,en,synthetic_template_v1
94,Seriously your appearance looks terrible in that photo every time.,appearance_attack,1,high,en,synthetic_template_v1
95,shut up and stop being so incompetent every time,general_abuse,1,medium,en,synthetic_template_v1
96,people will remember this embarrassing opinion right now,humiliation,1,high,en,synthetic_template_v1
97,Honestly everyone heard that you ruined the research right now,rumor_mockery,1,high,en,synthetic_template_v1
98,you are acting like a useless person today,insult,1,medium,en,synthetic_template_v1
99,seriously your appearance looks poor in that photo,appearance_attack,1,high,en,synthetic_template_v1
100,seriously your idea is a joke to everyone in this group,humiliation,1,high,en,synthetic_template_v1
101,Really we do not want you in this discussion right now.,harassment,1,high,en,synthetic_template_v1
102,again this idea made you look ridiculous today,humiliation,1,high,en,synthetic_template_v1
103,seriously nobody should work with you on the presentation right now,exclusion,1,medium,en,synthetic_template_v1
104,Again get lost you worthless in this group!,general_abuse,1,medium,en,synthetic_template_v1
105,Your project is a complete failure in this group,academic_attack,1,medium,en,synthetic_template_v1
106,again you explained the idea very clearly every time,normal,0,none,en,synthetic_template_v1
107,Listen your appearance looks ridiculous in that photo online!,appearance_attack,1,high,en,synthetic_template_v1
108,really you are so worthless right now,insult,1,medium,en,synthetic_template_v1
109,Really everyone knows you are bad at this subject right now.,academic_attack,1,medium,en,synthetic_template_v1
110,your design makes no sense at all in this group,insult,1,medium,en,synthetic_template_v1
111,stop posting such worthless things in this group,insult,1,medium,en,synthetic_template_v1
112,Your profile picture looks pathetic in this group,appearance_attack,1,high,en,synthetic_template_v1
113,seriously your design makes no sense at all in this group,insult,1,medium,en,synthetic_template_v1
114,honestly everyone heard that you ruined the research,rumor_mockery,1,high,en,synthetic_template_v1
115,again people say your report was copied in this group,rumor_mockery,1,high,en,synthetic_template_v1
116,honestly this design made you look ridiculous today,humiliation,1,high,en,synthetic_template_v1
117,seriously everyone is laughing at your project every time,humiliation,1,high,en,synthetic_template_v1
118,again everyone heard that you ruined the project,rumor_mockery,1,high,en,synthetic_template_v1
119,seriously people will remember this embarrassing opinion today,humiliation,1,high,en,synthetic_template_v1
120,Honestly you are a total failure right now,general_abuse,1,medium,en,synthetic_template_v1
121,really your effort on this comment is appreciated in this group,normal,0,none,en,synthetic_template_v1
122,what a useless thing to say online,insult,1,medium,en,synthetic_template_v1
123,seriously you always give poor answers right now,insult,1,medium,en,synthetic_template_v1
124,stop posting such useless things online,insult,1,medium,en,synthetic_template_v1
125,Post another useless assignment for us to mock in this group!,provocation,1,medium,en,synthetic_template_v1
126,again stop posting such awful things,insult,1,medium,en,synthetic_template_v1
127,honestly you sound stupid in this presentation every time,insult,1,medium,en,synthetic_template_v1
128,honestly great job on the message today,normal,0,none,en,synthetic_template_v1
129,honestly you are completely nonsense today,general_abuse,1,medium,en,synthetic_template_v1
130,seriously you are completely ridiculous in this group,general_abuse,1,medium,en,synthetic_template_v1
131,You are acting like a foolish person in this group.,insult,1,medium,en,synthetic_template_v1
132,seriously you will never complete this project correctly every time,academic_attack,1,medium,en,synthetic_template_v1
133,again your effort on this presentation is appreciated in this group,normal,0,none,en,synthetic_template_v1
134,everyone will make fun of your appearance every time,appearance_attack,1,high,en,synthetic_template_v1
135,really you embarrassed yourself with that idea in this group,humiliation,1,high,en,synthetic_template_v1
136,honestly nobody should work with you on the post online,exclusion,1,medium,en,synthetic_template_v1
137,seriously great job on the design online,normal,0,none,en,synthetic_template_v1
138,really let us improve the post together online,normal,0,none,en,synthetic_template_v1
139,seriously post another useless answer for us to mock today,provocation,1,medium,en,synthetic_template_v1
140,again i disagree with your research but i respect your view online,normal,0,none,en,synthetic_template_v1
141,seriously post another ridiculous report for us to mock,provocation,1,medium,en,synthetic_template_v1
142,really everyone knows you lied about the assignment today,rumor_mockery,1,high,en,synthetic_template_v1
143,listen this is another embarrassing post from you right now,humiliation,1,high,en,synthetic_template_v1
144,really you are completely hopeless right now,general_abuse,1,medium,en,synthetic_template_v1
145,Really your style looks pathetic in this group!,appearance_attack,1,high,en,synthetic_template_v1
146,this opinion made you look ridiculous every time,humiliation,1,high,en,synthetic_template_v1
147,honestly post another worthless drawing for us to mock today,provocation,1,medium,en,synthetic_template_v1
148,really everyone is laughing at your project online,humiliation,1,high,en,synthetic_template_v1
149,honestly nobody should work with you on the design in this group,exclusion,1,medium,en,synthetic_template_v1
150,really you sound pathetic in this message today,insult,1,medium,en,synthetic_template_v1
151,honestly everyone can see how pathetic your report is right now,humiliation,1,high,en,synthetic_template_v1
152,Again nobody cares about your comment online!,general_abuse,1,medium,en,synthetic_template_v1
153,Honestly everyone knows you lied about the assignment online!,rumor_mockery,1,high,en,synthetic_template_v1
154,really you sound annoying in this report every time,insult,1,medium,en,synthetic_template_v1
155,Really you look ridiculous in every picture every time.,appearance_attack,1,high,en,synthetic_template_v1
156,that was a very clueless response,insult,1,medium,en,synthetic_template_v1
157,post another awful research for us to mock online,provocation,1,medium,en,synthetic_template_v1
158,seriously nobody cares about your code,general_abuse,1,medium,en,synthetic_template_v1
159,really you are acting like a clueless person online,insult,1,medium,en,synthetic_template_v1
160,seriously post another ridiculous design for us to mock online,provocation,1,medium,en,synthetic_template_v1
161,really great job on the design every time,normal,0,none,en,synthetic_template_v1
162,Seriously people say your post was copied in this group.,rumor_mockery,1,high,en,synthetic_template_v1
163,honestly we will keep reporting every post you post in this group,harassment,1,high,en,synthetic_template_v1
164,again let us improve the answer together online,normal,0,none,en,synthetic_template_v1
165,Seriously post another embarrassing message for us to mock right now,provocation,1,medium,en,synthetic_template_v1
166,again everyone is tired of seeing your research,harassment,1,high,en,synthetic_template_v1
167,Again people are laughing at how you look right now,appearance_attack,1,high,en,synthetic_template_v1
168,honestly stop pretending you understand the idea,academic_attack,1,medium,en,synthetic_template_v1
169,listen you are too worthless to understand this code today,academic_attack,1,medium,en,synthetic_template_v1
170,Again the group keeps mocking what happened to you every time!,rumor_mockery,1,high,en,synthetic_template_v1
171,post another nonsense drawing for us to mock online,provocation,1,medium,en,synthetic_template_v1
172,honestly post another useless assignment for us to mock today,provocation,1,medium,en,synthetic_template_v1
173,really people will remember this embarrassing project today,humiliation,1,high,en,synthetic_template_v1
174,seriously get lost you annoying online,general_abuse,1,medium,en,synthetic_template_v1
175,Honestly you always fail at basic tasks!,academic_attack,1,medium,en,synthetic_template_v1
176,Everyone will make fun of your appearance in this group!,appearance_attack,1,high,en,synthetic_template_v1
177,Listen continue arguing because nobody takes you seriously every time!,provocation,1,medium,en,synthetic_template_v1
178,really you explained the project very clearly today,normal,0,none,en,synthetic_template_v1
179,listen you are completely poor,general_abuse,1,medium,en,synthetic_template_v1
180,again post another hopeless code for us to mock,provocation,1,medium,en,synthetic_template_v1
181,Nobody should work with you on the drawing today,exclusion,1,medium,en,synthetic_template_v1
182,keep talking and show everyone how ridiculous you are,provocation,1,medium,en,synthetic_template_v1
183,Really your project is a complete failure online!,academic_attack,1,medium,en,synthetic_template_v1
184,Seriously people will remember this embarrassing research right now!,humiliation,1,high,en,synthetic_template_v1
185,Again everyone heard that you ruined the drawing today!,rumor_mockery,1,high,en,synthetic_template_v1
186,really everyone should block you from the group right now,exclusion,1,medium,en,synthetic_template_v1
187,seriously you always make a fool of yourself online,humiliation,1,high,en,synthetic_template_v1
188,everyone is tired of seeing your presentation,harassment,1,high,en,synthetic_template_v1
189,seriously i disagree with your project but i respect your view right now,normal,0,none,en,synthetic_template_v1
190,Seriously this code was useful and interesting online!,normal,0,none,en,synthetic_template_v1
191,people will remember this embarrassing message today,humiliation,1,high,en,synthetic_template_v1
192,Really we will keep reporting every answer you post online.,harassment,1,high,en,synthetic_template_v1
193,honestly shut up and stop being so incompetent in this group,general_abuse,1,medium,en,synthetic_template_v1
194,honestly your report is completely hopeless in this group,insult,1,medium,en,synthetic_template_v1
195,Seriously keep talking and show everyone how incompetent you are online,provocation,1,medium,en,synthetic_template_v1
196,listen your presentation makes no sense at all in this group,insult,1,medium,en,synthetic_template_v1
197,Honestly i really liked your answer in this group,normal,0,none,en,synthetic_template_v1
198,shut up and stop being so foolish every time,general_abuse,1,medium,en,synthetic_template_v1
199,really this project was useful and interesting every time,normal,0,none,en,synthetic_template_v1
200,This message made you look ridiculous right now,humiliation,1,high,en,synthetic_template_v1
201,really your drawing is a joke to everyone online,humiliation,1,high,en,synthetic_template_v1
202,your message is a joke to everyone in this group,humiliation,1,high,en,synthetic_template_v1
203,listen everyone knows you lied about the drawing right now,rumor_mockery,1,high,en,synthetic_template_v1
204,keep talking and show everyone how ridiculous you are every time,provocation,1,medium,en,synthetic_template_v1
205,Again you are too worthless to understand this message every time,academic_attack,1,medium,en,synthetic_template_v1
206,Really everyone is laughing at your design today.,humiliation,1,high,en,synthetic_template_v1
207,Listen that was a very foolish response every time,insult,1,medium,en,synthetic_template_v1
208,really this is the most terrible drawing here right now,insult,1,medium,en,synthetic_template_v1
209,listen people will remember this embarrassing opinion right now,humiliation,1,high,en,synthetic_template_v1
210,Really you are too hopeless to understand this message in this group,academic_attack,1,medium,en,synthetic_template_v1
211,listen keep talking and show everyone how useless you are right now,provocation,1,medium,en,synthetic_template_v1
212,Honestly your effort on this research is appreciated right now,normal,0,none,en,synthetic_template_v1
213,Really please share your assignment when you are free in this group.,normal,0,none,en,synthetic_template_v1
214,honestly this code was useful and interesting online,normal,0,none,en,synthetic_template_v1
215,again everyone is laughing at your comment every time,humiliation,1,high,en,synthetic_template_v1
216,Honestly post another embarrassing research for us to mock every time!,provocation,1,medium,en,synthetic_template_v1
217,we will keep reporting every code you post,harassment,1,high,en,synthetic_template_v1
218,Seriously you are a total failure every time.,general_abuse,1,medium,en,synthetic_template_v1
219,your style looks embarrassing today,appearance_attack,1,high,en,synthetic_template_v1
220,you embarrassed yourself with that research,humiliation,1,high,en,synthetic_template_v1
221,honestly this is another embarrassing post from you in this group,humiliation,1,high,en,synthetic_template_v1
222,please share your presentation when you are free right now,normal,0,none,en,synthetic_template_v1
223,seriously everyone can see how awful your answer is,humiliation,1,high,en,synthetic_template_v1
224,seriously your appearance looks hopeless in that photo in this group,appearance_attack,1,high,en,synthetic_template_v1
225,get lost you incompetent right now,general_abuse,1,medium,en,synthetic_template_v1
226,honestly your project is a joke to everyone online,humiliation,1,high,en,synthetic_template_v1
227,listen nobody should work with you on the answer every time,exclusion,1,medium,en,synthetic_template_v1
228,listen what a annoying thing to say,insult,1,medium,en,synthetic_template_v1
229,again let us improve the code together right now,normal,0,none,en,synthetic_template_v1
230,really post another hopeless research for us to mock online,provocation,1,medium,en,synthetic_template_v1
231,listen this is the most pathetic project here today,insult,1,medium,en,synthetic_template_v1
232,honestly post another nonsense assignment for us to mock every time,provocation,1,medium,en,synthetic_template_v1
233,again get lost you stupid right now,general_abuse,1,medium,en,synthetic_template_v1
234,Seriously you embarrassed yourself with that post!,humiliation,1,high,en,synthetic_template_v1
235,listen you are too hopeless to understand this drawing every time,academic_attack,1,medium,en,synthetic_template_v1
236,seriously please share your idea when you are free right now,normal,0,none,en,synthetic_template_v1
237,honestly you are completely pathetic right now,general_abuse,1,medium,en,synthetic_template_v1
238,Honestly this is the most hopeless report here in this group,insult,1,medium,en,synthetic_template_v1
239,again nobody should work with you on the comment every time,exclusion,1,medium,en,synthetic_template_v1
240,really shut up and stop being so incompetent right now,general_abuse,1,medium,en,synthetic_template_v1
241,really you sound incompetent in this message in this group,insult,1,medium,en,synthetic_template_v1
242,again everyone heard that you ruined the report online,rumor_mockery,1,high,en,synthetic_template_v1
243,honestly i really liked your presentation in this group,normal,0,none,en,synthetic_template_v1
244,post another terrible drawing for us to mock today,provocation,1,medium,en,synthetic_template_v1
245,honestly people say your answer was copied right now,rumor_mockery,1,high,en,synthetic_template_v1
246,listen post another worthless drawing for us to mock,provocation,1,medium,en,synthetic_template_v1
247,seriously this message made you look ridiculous,humiliation,1,high,en,synthetic_template_v1
248,honestly your appearance looks awful in that photo,appearance_attack,1,high,en,synthetic_template_v1
249,again this is the most nonsense code here every time,insult,1,medium,en,synthetic_template_v1
250,Again we will keep reporting every report you post right now!,harassment,1,high,en,synthetic_template_v1
251,Nobody cares about your post today,general_abuse,1,medium,en,synthetic_template_v1
252,listen your idea makes no sense at all today,insult,1,medium,en,synthetic_template_v1
253,Again this is another embarrassing post from you right now.,humiliation,1,high,en,synthetic_template_v1
254,really shut up and stop being so ridiculous,general_abuse,1,medium,en,synthetic_template_v1
255,people say your project was copied online,rumor_mockery,1,high,en,synthetic_template_v1
256,honestly your appearance looks terrible in that photo online,appearance_attack,1,high,en,synthetic_template_v1
257,Really keep away from our group conversations every time!,harassment,1,high,en,synthetic_template_v1
258,Really continue arguing because nobody takes you seriously right now!,provocation,1,medium,en,synthetic_template_v1
259,listen you are too ridiculous to understand this post today,academic_attack,1,medium,en,synthetic_template_v1
260,Seriously i disagree with your project but i respect your view.,normal,0,none,en,synthetic_template_v1
261,You cannot solve even a simple question right now!,academic_attack,1,medium,en,synthetic_template_v1
262,listen everyone knows you lied about the post today,rumor_mockery,1,high,en,synthetic_template_v1
263,honestly keep talking and show everyone how incompetent you are today,provocation,1,medium,en,synthetic_template_v1
264,Honestly this report made you look ridiculous online,humiliation,1,high,en,synthetic_template_v1
265,Seriously you are too useless to understand this idea in this group.,academic_attack,1,medium,en,synthetic_template_v1
266,we will keep reporting every post you post every time,harassment,1,high,en,synthetic_template_v1
267,honestly stop posting such terrible things,insult,1,medium,en,synthetic_template_v1
268,listen you will never complete this opinion correctly right now,academic_attack,1,medium,en,synthetic_template_v1
269,really you will never complete this post correctly in this group,academic_attack,1,medium,en,synthetic_template_v1
270,listen your research is a joke to everyone,humiliation,1,high,en,synthetic_template_v1
271,listen you are too pathetic to understand this post today,academic_attack,1,medium,en,synthetic_template_v1
272,really nobody wants to hear from you here right now,harassment,1,high,en,synthetic_template_v1
273,honestly your appearance looks embarrassing in that photo,appearance_attack,1,high,en,synthetic_template_v1
274,Keep posting because your mistakes entertain everyone.,provocation,1,medium,en,synthetic_template_v1
275,Seriously nobody cares about your report right now!,general_abuse,1,medium,en,synthetic_template_v1
276,Really your mistake is being shared for everyone to laugh at today!,humiliation,1,high,en,synthetic_template_v1
277,Really we will ignore everything you post every time,harassment,1,high,en,synthetic_template_v1
278,That was a very hopeless response today,insult,1,medium,en,synthetic_template_v1
279,honestly you are too clueless to understand this project online,academic_attack,1,medium,en,synthetic_template_v1
280,seriously i really liked your opinion,normal,0,none,en,synthetic_template_v1
281,again everyone heard that you ruined the code online,rumor_mockery,1,high,en,synthetic_template_v1
282,your assignment is thoughtful today,normal,0,none,en,synthetic_template_v1
283,Honestly everyone heard that you ruined the opinion today.,rumor_mockery,1,high,en,synthetic_template_v1
284,seriously thank you for your useful presentation every time,normal,0,none,en,synthetic_template_v1
285,honestly we will keep reporting every comment you post,harassment,1,high,en,synthetic_template_v1
286,really everyone knows you lied about the presentation in this group,rumor_mockery,1,high,en,synthetic_template_v1
287,keep talking and show everyone how hopeless you are every time,provocation,1,medium,en,synthetic_template_v1
288,listen everyone knows you lied about the answer in this group,rumor_mockery,1,high,en,synthetic_template_v1
289,really nobody cares about your presentation,general_abuse,1,medium,en,synthetic_template_v1
290,seriously get lost you hopeless today,general_abuse,1,medium,en,synthetic_template_v1
291,really you embarrassed yourself with that assignment right now,humiliation,1,high,en,synthetic_template_v1
292,listen you are so incompetent,insult,1,medium,en,synthetic_template_v1
293,listen post another worthless design for us to mock right now,provocation,1,medium,en,synthetic_template_v1
294,This is the most embarrassing project here online,insult,1,medium,en,synthetic_template_v1
295,seriously we will keep reporting every message you post in this group,harassment,1,high,en,synthetic_template_v1
296,listen stop posting photos because you look awkward right now,appearance_attack,1,high,en,synthetic_template_v1
297,Seriously people are forwarding your mistake everywhere.,rumor_mockery,1,high,en,synthetic_template_v1
298,honestly please share your research when you are free today,normal,0,none,en,synthetic_template_v1
299,listen nobody should work with you on the drawing,exclusion,1,medium,en,synthetic_template_v1
300,Everyone knows you lied about the message online.,rumor_mockery,1,high,en,synthetic_template_v1
301,listen this is another embarrassing post from you,humiliation,1,high,en,synthetic_template_v1
302,honestly your messages are unwanted every time,harassment,1,high,en,synthetic_template_v1
303,Really you are not welcome in our discussion every time!,exclusion,1,medium,en,synthetic_template_v1
304,Really post another embarrassing opinion for us to mock in this group.,provocation,1,medium,en,synthetic_template_v1
305,again you are completely embarrassing today,general_abuse,1,medium,en,synthetic_template_v1
306,seriously your idea is completely embarrassing,insult,1,medium,en,synthetic_template_v1
307,Really you are a total failure online,general_abuse,1,medium,en,synthetic_template_v1
308,let us improve the code together right now,normal,0,none,en,synthetic_template_v1
309,honestly thank you for your creative drawing right now,normal,0,none,en,synthetic_template_v1
310,Really keep talking and show everyone how pathetic you are!,provocation,1,medium,en,synthetic_template_v1
311,listen this idea made you look ridiculous online,humiliation,1,high,en,synthetic_template_v1
312,Seriously stop posting photos because you look ridiculous every time!,appearance_attack,1,high,en,synthetic_template_v1
313,again your appearance looks nonsense in that photo,appearance_attack,1,high,en,synthetic_template_v1
314,listen you will never complete this code correctly online,academic_attack,1,medium,en,synthetic_template_v1
315,Listen people will remember this embarrassing message every time.,humiliation,1,high,en,synthetic_template_v1
316,listen i disagree with your post but i respect your view every time,normal,0,none,en,synthetic_template_v1
317,seriously nobody should work with you on the answer every time,exclusion,1,medium,en,synthetic_template_v1
318,seriously post another pathetic post for us to mock,provocation,1,medium,en,synthetic_template_v1
319,again your style looks pathetic today,appearance_attack,1,high,en,synthetic_template_v1
320,Listen everyone can see how nonsense your comment is,humiliation,1,high,en,synthetic_template_v1
321,Get lost you worthless every time!,general_abuse,1,medium,en,synthetic_template_v1
322,listen get lost you useless online,general_abuse,1,medium,en,synthetic_template_v1
323,honestly your research is helpful in this group,normal,0,none,en,synthetic_template_v1
324,again your effort on this post is appreciated online,normal,0,none,en,synthetic_template_v1
325,Really stop posting such nonsense things right now!,insult,1,medium,en,synthetic_template_v1
326,your profile picture looks embarrassing,appearance_attack,1,high,en,synthetic_template_v1
327,Honestly what a hopeless thing to say today,insult,1,medium,en,synthetic_template_v1
328,honestly get lost you hopeless right now,general_abuse,1,medium,en,synthetic_template_v1
329,listen keep talking and show everyone how worthless you are online,provocation,1,medium,en,synthetic_template_v1
330,you will never complete this post correctly,academic_attack,1,medium,en,synthetic_template_v1
331,Post another hopeless design for us to mock!,provocation,1,medium,en,synthetic_template_v1
332,really you are completely ridiculous every time,general_abuse,1,medium,en,synthetic_template_v1
333,Really you are too ridiculous to understand this assignment today!,academic_attack,1,medium,en,synthetic_template_v1
334,Seriously stay out of our online group today.,exclusion,1,medium,en,synthetic_template_v1
335,Listen everyone heard that you ruined the opinion online!,rumor_mockery,1,high,en,synthetic_template_v1
336,Seriously your presentation is completely terrible online,insult,1,medium,en,synthetic_template_v1
337,Seriously you sound incompetent in this post today,insult,1,medium,en,synthetic_template_v1
338,Shut up and stop being so stupid in this group.,general_abuse,1,medium,en,synthetic_template_v1
339,honestly nobody should work with you on the presentation right now,exclusion,1,medium,en,synthetic_template_v1
340,you are so pathetic right now,insult,1,medium,en,synthetic_template_v1
341,listen your style looks embarrassing every time,appearance_attack,1,high,en,synthetic_template_v1
342,Honestly this is another embarrassing post from you right now,humiliation,1,high,en,synthetic_template_v1
343,again great job on the drawing right now,normal,0,none,en,synthetic_template_v1
344,again your message makes no sense at all today,insult,1,medium,en,synthetic_template_v1
345,again you are too ridiculous to understand this drawing online,academic_attack,1,medium,en,synthetic_template_v1
346,nobody should work with you on the idea,exclusion,1,medium,en,synthetic_template_v1
347,listen post another nonsense research for us to mock online,provocation,1,medium,en,synthetic_template_v1
348,really people will remember this embarrassing idea,humiliation,1,high,en,synthetic_template_v1
349,Seriously you look awkward in that photo in this group.,appearance_attack,1,high,en,synthetic_template_v1
350,Honestly the group keeps mocking what happened to you every time,rumor_mockery,1,high,en,synthetic_template_v1
351,honestly thank you for your helpful idea online,normal,0,none,en,synthetic_template_v1
352,Seriously people are forwarding your mistake everywhere online!,rumor_mockery,1,high,en,synthetic_template_v1
353,again this opinion was useful and interesting,normal,0,none,en,synthetic_template_v1
354,listen stop pretending you understand the code in this group,academic_attack,1,medium,en,synthetic_template_v1
355,Again your appearance looks awful in that photo today!,appearance_attack,1,high,en,synthetic_template_v1
356,really we will keep reporting every project you post in this group,harassment,1,high,en,synthetic_template_v1
357,again your appearance looks nonsense in that photo today,appearance_attack,1,high,en,synthetic_template_v1
358,you are completely awful in this group,general_abuse,1,medium,en,synthetic_template_v1
359,Again people are sharing stories to make fun of you every time.,rumor_mockery,1,high,en,synthetic_template_v1
360,honestly you embarrassed yourself with that post,humiliation,1,high,en,synthetic_template_v1
361,honestly this is the most pathetic answer here in this group,insult,1,medium,en,synthetic_template_v1
